"2147236103","Gun A. Lee","937","81","804","14"
"2158884935","C. Nelles","767413","1","111",\N
"2312623618","Matt Ward","353355","3","0",\N
"2109925531","Ashleigh E. Smith","390978","1","0",\N
"2076960632","Matthew T. Haren","390976","1","0",\N
"2501933176","Hyung Il Kim","469465","3","10",\N
"2161928135","Sangtae Ha","243810","3","27",\N
"2174687488","Richie Jose","375538","1","12",\N
"2979357455","Humayun Khan","530802","3","13",\N
"2502940448","Anthony Tang","195","82","1747","25"
"2004490754","Dongsik Jo","267142","9","76",\N
"2708436966","Jae Ha Kim","804703","1","39",\N
"2714128752","Joshua Chen","556261","1","2",\N
"2768992107","Louise Lawrence","385750","3","6",\N
"2127239053","Kunal Gupta","794080","2","3",\N
"2113494524","Chan Mo Park","824729","1","42",\N
"2132239584","Wookho Son","248911","13","85",\N
"2143995532","Hyun Seo Kang","688906","1","4",\N
"2570283189","Melissa J. Hull","390991","1","0",\N
"2167476831","Jenny Clarke","691403","3","42",\N
"2222795015","Masai Katsutoshi","366929","1","1",\N
"2768589830","Zack Lomax","391030","1","0",\N
"2017424815","Kai Kunze","511","85","755","18"
"2619732078","Yeongmi Kim","4194","18","130","5"
"2133168985","Florian Floyd Mueller","189","138","3535","25"
"2116824690","Ross T. Smith","2760","37","263","8"
"2163318492","Hyungon Kim","854882","3","32",\N
"2152464095","Scott Bateman","924","24","711","14"
"2227042494","Arindam Dey","2381","25","231","9"
"2788272098","Arindam Dey","589834","3","12",\N
"1815222157","David Altimira","245657","10","153",\N
"2158540110","William S. Helton","209481","13","35",\N
"2986572181","Ashkan F. Hayati","103745","1","1",\N
"2036520852","Christoph Bartneck","414","81","1166","19"
"2970415899","Jian He","102326","1","0",\N
"2342546026","Omprakash Rudhru","716229","4","2",\N
"400723261","Thammathip Piumsomboon","1709","27","428","11"
"2095954421","Choonsung Shin","3401","18","328","7"
"1093317426","Joel Lanir","1725","34","289","11"
"1964289266","Robert W. Lindeman","796","69","809","15"
"2066024832","Rahul Budhiraja","195354","4","21",\N
"2184350551","Chang Joon Park","292926","7","36",\N
"2968976545","Mark Billinqhurs","94693","1","1",\N
"2157691197","Huidong Bai","201968","14","90",\N
"2322213408","Hoonjong Kang","215646","3","9",\N
"2137036312","Mikko Kyț","458184","10","63",\N
"1969043538","Nobuchika Sakata","294880","14","138",\N
"2114569290","Barrett Ens","1439","45","427","12"
"2305314317","Woontack Woo","565","136","997","17"
"2012995178","Catherine Paquet","390973","1","0",\N
"2769852659","Theophilus Teo","394388","6","25",\N
"2140285085","Seungwon Kim","788298","13","87",\N
"1987105347","Ungyeon Yang","216194","16","116",\N
"2766042041","Mitchell Norman","400266","5","12",\N
"2914647354","Chilwoo Lee","19612","1","1",\N
"2164227078","Adrian Clark","240615","12","278",\N
"2416879331","Ki Hong Kim","216241","14","92",\N
"2774678367","Arindam Day","771957","2","37",\N
"2128343636","Jisoo Hong","370164","2","1",\N
"2223878362","Alaeddin Nassani","825659","8","8",\N
"2998460397","Ho Won Kim","537379","1","0",\N
"2909290673","Wenjing Tang","667908","1","0",\N
"279785305","Andrew Irlitti","318481","6","44",\N
"2226737165","Hye Sun Park","174341","5","16",\N
"2164030523","Matt Adcock","2791","23","218","8"
"2916857967","Youngho Lee","1991","36","267","10"
"2972330173","Mark Billinghurst","530801","5","8",\N
"2769359641","Jonathon D. Hart","391035","3","39",\N
"2117074476","Weidong Huang","877","47","493","14"
"2277479701","Seonhyung Shin","723129","1","0",\N
"2123005041","Bruce H. Thomas","124","147","2329","28"
"2154292016","Rory M.S. Clifford","813261","10","36",\N
"2792681855","Mark Billinghurst","514530","3","12",\N
"2143943313","Maki Sugimoto","1550","41","330","11"
"2307001523","Lei Gao","641003","2","12",\N
"2195235690","Jin Sung Choi","309906","11","142",\N
"2113878867","Hayun Kim","505503","4","14",\N
"2972399692","Mark Billinqhurst","100516","1","6",\N
"2413224402","Amit Barde","353361","2","0",\N
"2765101344","Boram Yoon","397165","2","10",\N
"3000294404","Mark Billingurst","106555","1","1",\N
"2105935393","Sunghee Hong","265163","3","1",\N
"2097437637","Timo Bleeker","699966","3","7",\N
"2973624879","Thammatip Piumsomboon","400312","1","3",\N
"2232537974","Mukundan Ramakrishnan","793992","1","12",\N
"2006778276","Simon Hoermann","4386","27","114","5"
"2786563684","Young Min Kim","844764","8","13",\N
"2051154661","Tobias Langlotz","2523","30","461","9"
"2069749540","Mark Billinghurst","16","354","10673","48"
"2231234507","Jonathan Wong","807369","1","6",\N
"2204611747","Yongwan Kim","216229","11","59",\N
"2568713394","Bhuvaneswari Sarupuri","372480","6","14",\N
"2885498950","Sathya Barathan","580928","1","4",\N
"2769489726","Julie Ann Hill","391036","1","0",\N
"2770002808","Travis Ashworth","391039","1","0",\N
"2947801216","Gerard Jounghyun Kim","800","72","934","15"
