"2021.wanlp-1.10","The Interplay of Variant, Size, and Task Type in {A}rabic Pre-trained Language Models","2021","-1","-1","5","1","513","go inoue","Proceedings of the Sixth Arabic Natural Language Processing Workshop","0"
"2021.wanlp-1.23","Automatic {R}omanization of {A}rabic Bibliographic Records","2021","-1","-1","2","1","544","fadhl eryani","Proceedings of the Sixth Arabic Natural Language Processing Workshop","0"
"2021.wanlp-1.28","{NADI} 2021: The Second Nuanced {A}rabic Dialect Identification Shared Task","2021","-1","-1","5","0.119269","487","muhammad abdulmageed","Proceedings of the Sixth Arabic Natural Language Processing Workshop","0"
"2021.sigmorphon-1.25","SIGMORPHON 2021 Shared Task on Morphological Reinflection: Generalization Across Languages","2021","-1","-1","10","0","1357","tiago pimentel","Proceedings of the 18th SIGMORPHON Workshop on Computational Research in Phonetics, Phonology, and Morphology","0"
"2021.sigdial-1.29","A Cloud-based User-Centered Time-Offset Interaction Application","2021","-1","-1","8","1","1513","alberto chierici","Proceedings of the 22nd Annual Meeting of the Special Interest Group on Discourse and Dialogue","0"
"2021.humeval-1.9","A View From the Crowd: Evaluation Challenges for Time-Offset Interaction Applications","2021","-1","-1","2","1","1513","alberto chierici","Proceedings of the Workshop on Human Evaluation of NLP Systems (HumEval)","0"
"2021.conll-1.47","Automatic Error Type Annotation for {A}rabic","2021","-1","-1","2","0","11405","riadh belkebir","Proceedings of the 25th Conference on Computational Natural Language Learning","0"
"2020.wanlp-1.9","{NADI} 2020: The First Nuanced {A}rabic Dialect Identification Shared Task","2020","-1","-1","4","0.119269","487","muhammad abdulmageed","Proceedings of the Fifth Arabic Natural Language Processing Workshop","0"
"2020.wanlp-1.15","A Unified Model for {A}rabizi Detection and Transliteration using Sequence-to-Sequence Models","2020","-1","-1","3","0","14126","ali shazal","Proceedings of the Fifth Arabic Natural Language Processing Workshop","0"
"2020.udw-1.19","{PALMYRA} 2.0: A Configurable Multilingual Platform Independent Tool for Morphology and Syntax Annotation","2020","-1","-1","2","1","14288","dima taji","Proceedings of the Fourth Workshop on Universal Dependencies (UDW 2020)","0"
"2020.lrec-1.60","The Margarita Dialogue Corpus: A Data Set for Time-Offset Interactions and Unstructured Dialogue Systems","2020","-1","-1","2","1","1513","alberto chierici","Proceedings of the 12th Language Resources and Evaluation Conference","0"
"2020.lrec-1.373","A Large-Scale Leveled Readability Lexicon for {S}tandard {A}rabic","2020","-1","-1","2","1","17419","muhamed khalil","Proceedings of the 12th Language Resources and Evaluation Conference","0"
"2020.lrec-1.480","Morphological Analysis and Disambiguation for {G}ulf {A}rabic: The Interplay between Resources and Methods","2020","-1","-1","3","1","1362","salam khalifa","Proceedings of the 12th Language Resources and Evaluation Conference","0"
"2020.lrec-1.508","A Spelling Correction Corpus for Multiple {A}rabic Dialects","2020","-1","-1","2","1","544","fadhl eryani","Proceedings of the 12th Language Resources and Evaluation Conference","0"
"2020.lrec-1.868","{CAM}e{L} Tools: An Open Source Python Toolkit for {A}rabic Natural Language Processing","2020","-1","-1","10","1","18329","ossama obeid","Proceedings of the 12th Language Resources and Evaluation Conference","0"
"2020.gebnlp-1.12","Gender-Aware Reinflection using Linguistically Enhanced Neural Models","2020","-1","-1","2","0","514","bashar alhafni","Proceedings of the Second Workshop on Gender Bias in Natural Language Processing","0"
"2020.coling-main.225","Multitask Easy-First Dependency Parsing: Exploiting Complementarities of Different Dependency Representations","2020","-1","-1","5","0","4825","yash kankanampati","Proceedings of the 28th International Conference on Computational Linguistics","0"
"2020.coling-main.412","Utilizing Subword Entities in Character-Level Sequence-to-Sequence Lemmatization Models","2020","-1","-1","2","1","9259","nasser zalmout","Proceedings of the 28th International Conference on Computational Linguistics","0"
"2020.coling-demos.11","An Online Readability Leveled {A}rabic Thesaurus","2020","-1","-1","2","0","17420","zhengyang jiang","Proceedings of the 28th International Conference on Computational Linguistics: System Demonstrations","0"
"2020.acl-main.695","The Paradigm Discovery Problem","2020","35","1","5","1","1306","alexander erdmann","Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics","1"
"2020.acl-main.736","Joint Diacritization, Lemmatization, Normalization, and Fine-Grained Morphological Tagging","2020","0","0","2","1","9259","nasser zalmout","Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics","1"
"W19-6621","The Impact of Preprocessing on {A}rabic-{E}nglish Statistical and Neural Machine Translation","2019","24","1","3","0","18330","mai oudah","Proceedings of Machine Translation Summit XVII: Research Track","0"
"W19-4615","Morphologically Annotated Corpora for Seven {A}rabic Dialects: Taizi, Sanaani, Najdi, Jordanian, Syrian, Iraqi and {M}oroccan","2019","0","0","8","1","24089","faisal alshargi","Proceedings of the Fourth Arabic Natural Language Processing Workshop","0"
"W19-4622","The {MADAR} Shared Task on {A}rabic Fine-Grained Dialect Identification","2019","0","3","3","0.246385","516","houda bouamor","Proceedings of the Fourth Arabic Natural Language Processing Workshop","0"
"W19-4214","A Little Linguistics Goes a Long Way: Unsupervised Segmentation with Limited Language Specific Guidance","2019","0","0","4","1","1306","alexander erdmann","Proceedings of the 16th Workshop on Computational Research in Phonetics, Phonology, and Morphology","0"
"W19-3822","Automatic Gender Identification and Reinflection in {A}rabic","2019","0","2","1","1","517","nizar habash","Proceedings of the First Workshop on Gender Bias in Natural Language Processing","0"
"P19-1173","Adversarial Multitask Learning for Joint Multi-Feature and Multi-Dialect Morphological Modeling","2019","0","0","2","1","9259","nasser zalmout","Proceedings of the 57th Annual Meeting of the Association for Computational Linguistics","1"
"P19-1327","The Effectiveness of Simple Hybrid Systems for Hypernym Discovery","2019","0","0","2","0","8854","william held","Proceedings of the 57th Annual Meeting of the Association for Computational Linguistics","1"
"N19-4002","{ADIDA}: Automatic Dialect Identification for {A}rabic","2019","0","0","4","1","18329","ossama obeid","Proceedings of the 2019 Conference of the North {A}merican Chapter of the Association for Computational Linguistics (Demonstrations)","0"
"W18-5806","Complementary Strategies for Low Resourced Morphological Modeling","2018","0","1","2","1","1306","alexander erdmann","Proceedings of the Fifteenth Workshop on Computational Research in Phonetics, Phonology, and Morphology","0"
"W18-5816","An {A}rabic Morphological Analyzer and Generator with Copious Features","2018","0","4","5","1","14288","dima taji","Proceedings of the Fifteenth Workshop on Computational Research in Phonetics, Phonology, and Morphology","0"
"W18-5027","A Bilingual Interactive Human Avatar Dialogue System","2018","0","0","7","0","28067","dana ali","Proceedings of the 19th Annual {SIG}dial Meeting on Discourse and Dialogue","0"
"W18-4924","Improving Domain Independent Question Parsing with Synthetic Treebanks","2018","0","0","2","0","28110","halimantoine boukaram","Proceedings of the Joint Workshop on Linguistic Annotation, Multiword Expressions and Constructions ({LAW}-{MWE}-{C}x{G}-2018)","0"
"W18-3703","Feature Optimization for Predicting Readability of {A}rabic {L}1 and {L}2","2018","0","1","2","0","28252","hind saddiki","Proceedings of the 5th Workshop on Natural Language Processing Techniques for Educational Applications","0"
"P18-2089","Addressing Noise in Multidialectal Word Embeddings","2018","0","6","3","1","1306","alexander erdmann","Proceedings of the 56th Annual Meeting of the Association for Computational Linguistics (Volume 2: Short Papers)","0"
"N18-1087","Noise-Robust Morphological Disambiguation for Dialectal {A}rabic","2018","0","4","3","1","9259","nasser zalmout","Proceedings of the 2018 Conference of the North {A}merican Chapter of the Association for Computational Linguistics: Human Language Technologies, Volume 1 (Long Papers)","0"
"L18-1147","A Parallel Corpus of {A}rabic-{J}apanese News Articles","2018","0","4","2","1","513","go inoue","Proceedings of the Eleventh International Conference on Language Resources and Evaluation ({LREC} 2018)","0"
"L18-1345","{P}almyra: A Platform Independent Dependency Annotation Tool for Morphologically Rich Languages","2018","0","0","2","0","29889","talha javed","Proceedings of the Eleventh International Conference on Language Resources and Evaluation ({LREC} 2018)","0"
